Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
io.strimzi:mirror-maker-2-extensions,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.strimzi:mirror-maker-2-extensions:1.2.0,gav://io.strimzi:mirror-maker-2-extensions,1.2.0
pause,MIT,http://www.opensource.org/licenses/MIT,npm,pause:0.0.1,npm://pause,0.0.1
bleach,Apache-2.0,http://licenses.nuget.org/Apache-2.0,pypi,bleach:5.0.0,pypi://bleach,5.0.0
pure-eval,MIT,http://www.opensource.org/licenses/MIT,pypi,pure-eval:0.2.2,pypi://pure-eval,0.2.2
io.opentelemetry:opentelemetry-context,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.opentelemetry:opentelemetry-context:1.0.1,gav://io.opentelemetry:opentelemetry-context,1.0.1
org.apache.commons:commons-lang3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.commons:commons-lang3:3.1,gav://org.apache.commons:commons-lang3,3.1
org.glassfish.jersey.core:jersey-common,"Apache-2.0,EPL-1.0,EPL-2.0,GPL-2.0,GPL-2.0+CE,LGPL-2.0,Public Domain","http://licenses.nuget.org/Apache-2.0,http://www.eclipse.org/legal/epl-v10.html,https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/software/classpath/license.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html,http://creativecommons.org/licenses/publicdomain/",maven,org.glassfish.jersey.core:jersey-common:2.30,gav://org.glassfish.jersey.core:jersey-common,2.30
color-name,MIT,http://www.opensource.org/licenses/MIT,npm,color-name:1.1.4,npm://color-name,1.1.4
fengari-interop,MIT,http://www.opensource.org/licenses/MIT,npm,fengari-interop:0.1.3,npm://fengari-interop,0.1.3
stringify-package,ISC,http://www.opensource.org/licenses/ISC,npm,stringify-package:1.0.1,npm://stringify-package,1.0.1
8:librepo,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,rpm,8:librepo:0:1.14.0-2.el8,rpm://8:librepo,0:1.14.0-2.el8
